Week_date_time,Week_date_time_woreda,RegionName,ZoneName,WoredaName,Total Malaria Confirmed and Clinical,TMalaria_OutP_Cases,TMalaria_InP_Cases,TMalaria_InP_Deaths,TMSuspected Fever Examined,PosMalaria_RDT_or_Microscopy_PF_OutP_Cases,PosMalaria_RDT_or_Microscopy_PV_OutP_Cases,Meningits total Cases,Meningitis_InP_Cases,Dysentery_total Cases,Dysentery_OutP_Cases,Typhoid fever Total cases,Typhoid fever_OutP_Cases,Typhoid fever_InP_Cases,Relapsing fever_total Cases,Epidemic Typhus Total Cases,Epidemic Typhus_OutP_Cases,Epidemic Typhus_InP_Cases,Epidemic Typhus_InP_Deaths,Malnutrition_total Cases,Scabies_OutP_Cases,Avian_Human_Influenza_Cases,Avian_Human_Influenza_Deaths,Cholera/AWD_Cases,Cholera/AWD_Deaths,Dracunculiasis/Guinea worm_Cases,Dracunculiasis/Guinea worm_Deaths,Measles_Cases,Neonatal Tetanus_Cases,Neonatal Tetanus_Deaths,Pandemic Influenza_Cases,Pandemic Influenza_Deaths,Rabies_Cases,Rabies_Deaths,SARS_Cases,SARS_Deaths,Maternal_Death,Other 1_sc,Other 1_Cases,Other 1_Deaths,Other 2_Name,Other 2_Cases,Other 2_Deaths,Other 3_Name,Other 3_Cases,Other 3_Deaths,No-of-Gov_HPs-expected-by-RHB,No-of-Gov_HCs-expected-by-RHB,No-of-Gov_Hosps-expected-by-RHB,No-of-NGOHF-expected-by-RHB,No-of-OtherHFs-expected-by-RHB,No-of-Gov_HPs-Reported,No-of-Gov_HCs-Reported,No-of-Gov_Hosps-Reported,No-of-NGOHFs-Reported,No-of-OthersHF-Reported,All-Total-sites-Reported,All-Total-sites-Expected-by-RHB,Total-Gov-sites-Reported
2017-01-09,2017-01-09_Borena_Yabelo Rural,Oromia,Borena,Yabelo Rural,0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,6,6.0,2,2.0,0.0,0,0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,10.0,3.0,,1.0,3.0,10.0,3.0,,,,13,17,13
2017-01-09,2017-01-09_East Wellega_Wama Hagelo,Oromia,East Wellega,Wama Hagelo,0,0.0,0.0,0.0,37.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,16.0,3.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,17,19,17
2017-01-09,2017-01-09_Arsi_Seru,Oromia,Arsi,Seru,0,0.0,0.0,0.0,4.0,0.0,0.0,0,0.0,1,1.0,4,4.0,0.0,0,0,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,14.0,2.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,15,16,15
2017-01-09,2017-01-09_East Hararge_Haromaya Town,Oromia,East Hararge,Haromaya Town,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,6,6.0,6,6.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3,6,3
2017-01-09,2017-01-09_Arsi_Bekoji Town,Oromia,Arsi,Bekoji Town,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,1.0,4,4.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,0.0,8.0,11,11,3
2017-01-09,2017-01-09_West Wellega_Lalo Asabi,Oromia,West Wellega,Lalo Asabi,12,12.0,0.0,0.0,84.0,5.0,7.0,0,0.0,2,2.0,57,57.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,27.0,3.0,0.0,3.0,1.0,26.0,3.0,0.0,2.0,1.0,32,34,29
2017-01-09,2017-01-09_Borena_Arero,Oromia,Borena,Arero,7,7.0,0.0,0.0,33.0,7.0,0.0,0,0.0,42,42.0,0,0.0,0.0,0,0,0.0,0.0,0.0,12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,18.0,2.0,,,4.0,18.0,2.0,,,3.0,23,24,20
2017-01-09,2017-01-09_East Hararge_Bedeno,Oromia,East Hararge,Bedeno,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,40.0,8.0,0.0,0.0,5.0,28.0,6.0,0.0,0.0,5.0,39,53,34
2017-01-09,2017-01-09_Ilu Aba Bora_Metu Town,Oromia,Ilu Aba Bora,Metu Town,8,8.0,0.0,0.0,208.0,3.0,5.0,0,0.0,10,10.0,77,77.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,1.0,1.0,0.0,8.0,0.0,1.0,1.0,0.0,9.0,11,10,2
2017-01-09,2017-01-09_Jimma_Sigmo,Oromia,Jimma,Sigmo,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7,7.0,8,8.0,0.0,0,0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,20.0,4.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,24,24,24
